"Package","Version","Built"
"abind","1.4-8","4.5.3"
"alabaster.base","1.10.0","4.5.3"
"alabaster.matrix","1.10.0","4.5.3"
"alabaster.ranges","1.10.0","4.5.3"
"alabaster.schemas","1.10.0","4.5.3"
"alabaster.se","1.10.0","4.5.3"
"anndataR","1.0.2","4.5.3"
"annotate","1.88.0","4.5.3"
"AnnotationDbi","1.72.0","4.5.3"
"AnnotationFilter","1.34.0","4.5.3"
"AnnotationHub","4.0.0","4.5.3"
"aod","1.3.3","4.5.3"
"ape","5.8-1","4.5.3"
"aplot","0.2.9","4.5.3"
"AsioHeaders","1.30.2-1","4.5.3"
"askpass","1.2.1","4.5.3"
"assertthat","0.2.1","4.5.3"
"assorthead","1.4.0","4.5.3"
"babelgene","22.9","4.5.3"
"backports","1.5.1","4.5.3"
"base","4.5.3","4.5.3"
"base64enc","0.1-6","4.5.3"
"basilisk","1.22.0","4.5.3"
"bayesplot","1.15.0","4.5.3"
"bcellViper","1.46.0","4.5.3"
"beachmat","2.26.0","4.5.3"
"beeswarm","0.4.0","4.5.3"
"benchmarkme","1.0.8","4.5.3"
"benchmarkmeData","2.0.0","4.5.3"
"BH","1.90.0-1","4.5.3"
"Biobase","2.70.0","4.5.3"
"BiocBaseUtils","1.12.0","4.5.3"
"BiocFileCache","3.0.0","4.5.3"
"BiocGenerics","0.56.0","4.5.3"
"BiocIO","1.20.0","4.5.3"
"BiocManager","1.30.27","4.5.3"
"BiocNeighbors","2.4.0","4.5.3"
"BiocParallel","1.44.0","4.5.3"
"BiocSingular","1.26.1","4.5.3"
"BiocVersion","3.22.0","4.5.3"
"biomaRt","2.66.2","4.5.3"
"Biostrings","2.78.0","4.5.3"
"bit","4.6.0","4.5.3"
"bit64","4.8.0","4.5.3"
"bitops","1.0-9","4.5.3"
"blme","1.0-7","4.5.3"
"blob","1.3.0","4.5.3"
"bluster","1.20.0","4.5.3"
"boot","1.3-32","4.5.3"
"BPCells","0.3.1","4.5.3"
"brew","1.0-10","4.5.3"
"bridgesampling","1.2-1","4.5.3"
"brio","1.1.5","4.5.3"
"brms","2.23.0","4.5.3"
"Brobdingnag","1.2-9","4.5.3"
"broom","1.0.12","4.5.3"
"broom.mixed","0.2.9.7","4.5.3"
"BSgenome","1.78.0","4.5.3"
"bslib","0.10.0","4.5.3"
"cachem","1.1.0","4.5.3"
"Cairo","1.7-0","4.5.3"
"callr","3.7.6","4.5.3"
"car","3.1-5","4.5.3"
"carData","3.0-6","4.5.3"
"caTools","1.18.3","4.5.3"
"celldex","1.20.0","4.5.3"
"cellranger","1.1.0","4.5.3"
"checkmate","2.3.4","4.5.3"
"cigarillo","1.0.0","4.5.3"
"circlize","0.4.18","4.5.3"
"class","7.3-23","4.5.3"
"cli","3.6.6","4.5.3"
"clipr","0.8.0","4.5.3"
"clue","0.3-68","4.5.3"
"cluster","2.1.8.2","4.5.3"
"clusterProfiler","4.18.4","4.5.3"
"coda","0.19-4.1","4.5.3"
"codetools","0.2-20","4.5.3"
"collections","0.3.12","4.5.3"
"colorspace","2.1-2","4.5.3"
"commonmark","2.0.0","4.5.3"
"compiler","4.5.3","4.5.3"
"ComplexHeatmap","2.26.1","4.5.3"
"conflicted","1.2.0","4.5.3"
"corpcor","1.6.10","4.5.3"
"corrplot","0.95","4.5.3"
"cowplot","1.2.0","4.5.3"
"cpp11","0.5.4","4.5.3"
"crayon","1.5.3","4.5.3"
"credentials","2.0.3","4.5.3"
"crosstalk","1.2.2","4.5.3"
"curl","7.1.0","4.5.3"
"data.table","1.18.2.1","4.5.3"
"datasets","4.5.3","4.5.3"
"DBI","1.3.0","4.5.3"
"dbplyr","2.5.2","4.5.3"
"decoupleR","2.16.0","4.5.3"
"DelayedArray","0.36.1","4.5.3"
"DelayedMatrixStats","1.32.0","4.5.3"
"deldir","2.0-4","4.5.3"
"Deriv","4.2.0","4.5.3"
"desc","1.4.3","4.5.3"
"DescTools","0.99.60","4.5.3"
"DESeq2","1.50.2","4.5.3"
"devtools","2.5.2","4.5.3"
"diffobj","0.3.6","4.5.3"
"digest","0.6.39","4.5.3"
"dir.expiry","1.18.0","4.5.3"
"DirichletMultinomial","1.52.0","4.5.3"
"distributional","0.7.0","4.5.3"
"dittoSeq","1.22.0","4.5.3"
"doBy","4.7.1","4.5.3"
"doParallel","1.0.17","4.5.3"
"dorothea","1.22.0","4.5.3"
"DOSE","4.4.0","4.5.3"
"dotCall64","1.2","4.5.3"
"downlit","0.4.5","4.5.3"
"dplyr","1.2.1","4.5.3"
"dqrng","0.4.1","4.5.3"
"DropletUtils","1.30.0","4.5.3"
"DT","0.34.0","4.5.3"
"dtplyr","1.3.3","4.5.3"
"dynamicTreeCut","1.63-1","4.5.3"
"e1071","1.7-17","4.5.3"
"edgeR","4.8.2","4.5.3"
"ellipse","0.5.0","4.5.3"
"ellipsis","0.3.3","4.5.3"
"enrichplot","1.30.5","4.5.3"
"EnsDb.Mmusculus.v79","2.99.0","4.5.3"
"ensembldb","2.34.0","4.5.3"
"EnvStats","3.1.0","4.5.3"
"evaluate","1.0.5","4.5.3"
"Exact","3.3","4.5.3"
"ExperimentHub","3.0.0","4.5.3"
"expm","1.0-0","4.5.3"
"fANCOVA","0.6-1","4.5.3"
"fansi","1.0.7","4.5.3"
"farver","2.1.2","4.5.3"
"fastcluster","1.3.0","4.5.3"
"fastDummies","1.7.5","4.5.3"
"fastmap","1.2.0","4.5.3"
"fastmatch","1.1-8","4.5.3"
"fdrtool","1.2.18","4.5.3"
"fgsea","1.36.2","4.5.3"
"filelock","1.0.3","4.5.3"
"fitdistrplus","1.2-6","4.5.3"
"FNN","1.1.4.1","4.5.3"
"fontawesome","0.5.3","4.5.3"
"fontBitstreamVera","0.1.1","4.5.3"
"fontLiberation","0.1.0","4.5.3"
"fontquiver","0.2.1","4.5.3"
"forcats","1.0.1","4.5.3"
"foreach","1.5.2","4.5.3"
"forecast","9.0.2","4.5.3"
"foreign","0.8-91","4.5.3"
"formatR","1.14","4.5.3"
"Formula","1.2-5","4.5.3"
"fracdiff","1.5-4","4.5.3"
"fs","2.1.0","4.5.3"
"furrr","0.4.0","4.5.3"
"futile.logger","1.4.9","4.5.3"
"futile.options","1.0.1","4.5.3"
"future","1.70.0","4.5.3"
"future.apply","1.20.2","4.5.3"
"gargle","1.6.1","4.5.3"
"gdtools","0.5.0","4.5.3"
"generics","0.1.4","4.5.3"
"GenomeInfoDb","1.46.2","4.5.3"
"GenomicAlignments","1.46.0","4.5.3"
"GenomicFeatures","1.62.0","4.5.3"
"GenomicRanges","1.62.1","4.5.3"
"gert","2.3.1","4.5.3"
"GetoptLong","1.1.1","4.5.3"
"ggbeeswarm","0.7.3","4.5.3"
"ggforce","0.5.0","4.5.3"
"ggfun","0.2.0","4.5.3"
"ggiraph","0.9.6","4.5.3"
"ggnewscale","0.5.2","4.5.3"
"ggplot2","4.0.3","4.5.3"
"ggplotify","0.1.3","4.5.3"
"ggpubr","0.6.3","4.5.3"
"ggrastr","1.0.2","4.5.3"
"ggrepel","0.9.8","4.5.3"
"ggridges","0.5.7","4.5.3"
"ggsci","5.0.0","4.5.3"
"ggsignif","0.6.4","4.5.3"
"ggtangle","0.1.1","4.5.3"
"ggtree","4.0.5","4.5.3"
"gh","1.5.0","4.5.3"
"gitcreds","0.1.2","4.5.3"
"gld","2.6.8","4.5.3"
"glmGamPoi","1.22.0","4.5.3"
"glmmTMB","1.1.14","4.5.3"
"GlobalOptions","0.1.4","4.5.3"
"globals","0.19.1","4.5.3"
"glue","1.8.1","4.5.3"
"GO.db","3.22.0","4.5.3"
"goftest","1.2-3","4.5.3"
"googledrive","2.1.2","4.5.3"
"googlesheets4","1.1.2","4.5.3"
"GOSemSim","2.36.0","4.5.3"
"gplots","3.3.0","4.5.3"
"graph","1.88.1","4.5.3"
"graphics","4.5.3","4.5.3"
"grDevices","4.5.3","4.5.3"
"grid","4.5.3","4.5.3"
"gridExtra","2.3","4.5.3"
"gridGraphics","0.5-1","4.5.3"
"GSEABase","1.72.0","4.5.3"
"gsignal","0.3-7","4.5.3"
"gson","0.1.0","4.5.3"
"GSVA","2.4.9","4.5.3"
"gtable","0.3.6","4.5.3"
"gtools","3.9.5","4.5.3"
"gypsum","1.6.0","4.5.3"
"h5mread","1.2.1","4.5.3"
"harmony","1.2.4","4.5.3"
"haven","2.5.5","4.5.3"
"HDF5Array","1.38.0","4.5.3"
"hdf5r","1.3.12","4.5.3"
"here","1.0.2","4.5.3"
"hexbin","1.28.5","4.5.3"
"highr","0.12","4.5.3"
"Hmisc","5.2-5","4.5.3"
"hms","1.1.4","4.5.3"
"htmlTable","2.5.0","4.5.3"
"htmltools","0.5.9","4.5.3"
"htmlwidgets","1.6.4","4.5.3"
"httpgd","2.1.4","4.5.3"
"httpuv","1.6.17","4.5.3"
"httr","1.4.8","4.5.3"
"httr2","1.2.2","4.5.3"
"ica","1.0-3","4.5.3"
"ids","1.0.1","4.5.3"
"igraph","2.2.3","4.5.3"
"IHW","1.38.0","4.5.3"
"ini","0.3.1","4.5.3"
"inline","0.3.21","4.5.3"
"IRanges","2.44.0","4.5.3"
"IRdisplay","1.1","4.5.3"
"IRkernel","1.3.2","4.5.3"
"irlba","2.3.7","4.5.3"
"isoband","0.3.0","4.5.3"
"iterators","1.0.14","4.5.3"
"JASPAR2022","0.99.8","4.5.3"
"jquerylib","0.1.4","4.5.3"
"jsonlite","2.0.0","4.5.3"
"jsonvalidate","1.5.0","4.5.3"
"kableExtra","1.4.0","4.5.3"
"KEGGREST","1.50.0","4.5.3"
"KernSmooth","2.23-26","4.5.3"
"knitr","1.51","4.5.3"
"labeling","0.4.3","4.5.3"
"lambda.r","1.2.4","4.5.3"
"languageserver","0.3.17","4.5.3"
"later","1.4.8","4.5.3"
"lattice","0.22-9","4.5.3"
"lazyeval","0.2.3","4.5.3"
"lemur","1.8.0","4.5.3"
"lifecycle","1.0.5","4.5.3"
"limma","3.66.0","4.5.3"
"lintr","3.3.0-1","4.5.3"
"listenv","0.10.1","4.5.3"
"lme4","2.0-1","4.5.3"
"lmerTest","3.2-1","4.5.3"
"lmom","3.3","4.5.3"
"lmtest","0.9-40","4.5.3"
"locfit","1.5-9.12","4.5.3"
"loo","2.9.0","4.5.3"
"lpsymphony","1.38.0","4.5.3"
"lubridate","1.9.5","4.5.3"
"magick","2.9.1","4.5.3"
"magrittr","2.0.5","4.5.3"
"MASS","7.3-65","4.5.3"
"Matrix","1.7-5","4.5.3"
"MatrixGenerics","1.22.0","4.5.3"
"MatrixModels","0.5-4","4.5.3"
"matrixStats","1.5.0","4.5.3"
"memoise","2.0.1","4.5.3"
"memuse","4.2-3","4.5.3"
"metapod","1.18.0","4.5.3"
"methods","4.5.3","4.5.3"
"mgcv","1.9-4","4.5.3"
"microbenchmark","1.5.0","4.5.3"
"mime","0.13","4.5.3"
"miniUI","0.1.2","4.5.3"
"minqa","1.2.8","4.5.3"
"mixOmics","6.34.0","4.5.3"
"modelr","0.1.11","4.5.3"
"MOFA2","1.20.2","4.5.3"
"msigdbr","26.1.0","4.5.3"
"muscat","1.24.0","4.5.3"
"mvtnorm","1.3-7","4.5.3"
"nabor","0.5.0","4.5.3"
"nleqslv","3.3.7","4.5.3"
"nlme","3.1-169","4.5.3"
"nloptr","2.2.1","4.5.3"
"nnet","7.3-20","4.5.3"
"nortest","1.0-4","4.5.3"
"numDeriv","2016.8-1.1","4.5.3"
"openssl","2.4.0","4.5.3"
"otel","0.2.0","4.5.3"
"PACS","0.2.2","4.5.3"
"pak","0.9.5","4.5.3"
"pandoc","0.2.0","4.5.3"
"parallel","4.5.3","4.5.3"
"parallelly","1.47.0","4.5.3"
"patchwork","1.3.2","4.5.3"
"pbapply","1.7-4","4.5.3"
"pbdZMQ","0.3-14","4.5.3"
"pbkrtest","0.5.5","4.5.3"
"pheatmap","1.0.13","4.5.3"
"PICsnATAC","0.3.1","4.5.3"
"pillar","1.11.1","4.5.3"
"pkgbuild","1.4.8","4.5.3"
"pkgconfig","2.0.3","4.5.3"
"pkgdown","2.2.0","4.5.3"
"pkgload","1.5.2","4.5.3"
"plotly","4.12.0","4.5.3"
"plyr","1.8.9","4.5.3"
"png","0.1-9","4.5.3"
"polyclip","1.10-7","4.5.3"
"polynom","1.4-1","4.5.3"
"posterior","1.7.0","4.5.3"
"pracma","2.4.6","4.5.3"
"praise","1.0.0","4.5.3"
"prettyunits","1.2.0","4.5.3"
"processx","3.9.0","4.5.3"
"profvis","0.4.0","4.5.3"
"progeny","1.32.0","4.5.3"
"progress","1.2.3","4.5.3"
"progressr","0.19.0","4.5.3"
"promises","1.5.0","4.5.3"
"ProtGenerics","1.42.0","4.5.3"
"proxy","0.4-29","4.5.3"
"ps","1.9.3","4.5.3"
"purrr","1.2.2","4.5.3"
"pwalign","1.6.0","4.5.3"
"quantreg","6.1","4.5.3"
"QuickJSR","1.9.2","4.5.3"
"qvalue","2.42.0","4.5.3"
"R.cache","0.17.0","4.5.3"
"R.methodsS3","1.8.2","4.5.3"
"R.oo","1.27.1","4.5.3"
"R.utils","2.13.0","4.5.3"
"R6","2.6.1","4.5.3"
"ragg","1.5.2","4.5.3"
"RANN","2.6.2","4.5.3"
"rappdirs","0.3.4","4.5.3"
"rARPACK","0.11-0","4.5.3"
"rbibutils","2.4.1","4.5.3"
"rcmdcheck","1.4.0","4.5.3"
"RColorBrewer","1.1-3","4.5.3"
"Rcpp","1.1.1-1.1","4.5.3"
"RcppAnnoy","0.0.23","4.5.3"
"RcppArmadillo","15.2.6-1","4.5.3"
"RcppEigen","0.3.4.0.2","4.5.3"
"RcppHNSW","0.6.0","4.5.3"
"RcppML","0.3.7.1","4.5.3"
"RcppParallel","5.1.11-2","4.5.3"
"RcppProgress","0.4.2","4.5.3"
"RcppRoll","0.3.2","4.5.3"
"RcppTOML","0.2.3","4.5.3"
"RCurl","1.98-1.18","4.5.3"
"Rdpack","2.6.6","4.5.3"
"readr","2.2.0","4.5.3"
"readxl","1.4.5","4.5.3"
"reformulas","0.4.4","4.5.3"
"remaCor","0.0.20","4.5.3"
"rematch","2.0.0","4.5.3"
"rematch2","2.1.2","4.5.3"
"remotes","2.5.0","4.5.3"
"renv","1.2.2","4.5.3"
"repr","1.1.7","4.5.3"
"reprex","2.1.1","4.5.3"
"reshape2","1.4.5","4.5.3"
"restfulr","0.0.16","4.5.3"
"reticulate","1.46.0","4.5.3"
"rex","1.2.2","4.5.3"
